"agent","true_rank","est_rank_A","est_rank_B","est_rank_Ref","est_rank_Lumped"
"citalopram",1,1.98,2.06,2.06,2.3
"escitalopram",3,3.15,3.08,3.1,3.16
"fluoxetine",5,4.38,4.39,4.35,4.34
"paroxetine",2,2.14,2.15,2.1,2.06
"sertraline",4,3.35,3.32,3.39,3.14
