"agent","d_median","d_lower","d_upper","mean_rank","sucra"
"agomelatine",0.381766902192746,0.104470783285771,0.659726715964918,12.7633333333333,0.346481481481481
"amitriptyline",0.690308441215304,0.284826448079788,1.09600290157138,5.951,0.724944444444444
"bupropion",0.28987293691517,-0.106199323014137,0.695912199951516,14.1106666666667,0.27162962962963
"citalopram",0.229334129345288,-0.0943236199934915,0.535978086772364,15.7863333333333,0.178537037037037
"clomipramine",0.481694505827771,0.0560906305614777,0.924538159027079,10.1126666666667,0.493740740740741
"desvenlafaxine",0.430415149674672,0.140204593842683,0.699144233912139,11.5253333333333,0.415259259259259
"duloxetine",0.604465141800582,0.424788364738605,0.797331062854248,6.91566666666667,0.671351851851852
"escitalopram",0.665591886211137,0.452659250892983,0.884269411450073,5.60933333333333,0.743925925925926
"fluoxetine",0.393147670971937,0.192155968344201,0.603777326591574,12.503,0.360944444444444
"fluvoxamine",0.191202465058083,-0.311696493761841,0.687352664442035,15.5713333333333,0.190481481481481
"milnacipran",0.471015866734542,0.0366846021002921,0.911626533728219,10.5356666666667,0.470240740740741
"mirtazapine",0.855723305412206,0.334630077068052,1.39173226285981,4.202,0.822111111111111
"paroxetine",0.532247298224509,0.350216378837923,0.71242133233494,8.81066666666667,0.566074074074074
"reboxetine",2.53425562227752,1.2950143254554,3.92107184002057,1.03433333333333,0.998092592592593
"sertraline",0.0709303774304295,-0.476612352337874,0.600782112618738,16.8653333333333,0.118592592592593
"trazodone",0.729363884416914,-0.364650724279325,1.94206323089566,7.54733333333333,0.636259259259259
"venlafaxine",0.490030531775761,0.192775191241813,0.809453200046786,9.94166666666667,0.503240740740741
"vilazodone",0.610286400144368,0.241157209924572,0.963251238666379,7.372,0.646
"vortioxetine",0.369800307629848,0.0561511762839784,0.706619753360135,12.8423333333333,0.342092592592593
