"prior","agent","sucra"
"HN(0, 2)","reboxetine",0.99285
"HN(0, 2)","sertraline",0.0597833333333334
"HN(0, 2)","trazodone",0.6077
"HN(0, 2)","venlafaxine",0.29945
"HN(0, 2)","vilazodone",0.529266666666667
"HN(0, 2)","vortioxetine",0.674316666666667
"HC(0, 0.5)","agomelatine",0.42075
"HC(0, 0.5)","amitriptyline",0.479333333333333
"HC(0, 0.5)","bupropion",0.271916666666667
"HC(0, 0.5)","citalopram",0.34425
"HC(0, 0.5)","clomipramine",0.5921
"HC(0, 0.5)","desvenlafaxine",0.384183333333333
"HC(0, 0.5)","duloxetine",0.872816666666667
"HC(0, 0.5)","escitalopram",0.704316666666667
"HC(0, 0.5)","fluoxetine",0.4893
"HC(0, 0.5)","fluvoxamine",0.0655166666666666
"HC(0, 0.5)","levomilnacipran",0.648616666666667
"HC(0, 0.5)","milnacipran",0.392333333333333
"HC(0, 0.5)","mirtazapine",0.74355
"HC(0, 0.5)","nefazodone",0.355983333333333
"HC(0, 0.5)","paroxetine",0.5667
"HC(0, 0.5)","reboxetine",0.991883333333333
"HC(0, 0.5)","sertraline",0.0608499999999999
"HC(0, 0.5)","trazodone",0.6107
"HC(0, 0.5)","venlafaxine",0.299166666666667
"HC(0, 0.5)","vilazodone",0.532283333333333
"HC(0, 0.5)","vortioxetine",0.67345
"LN(-2.34, 1.62^2)","agomelatine",0.425883333333333
"LN(-2.34, 1.62^2)","amitriptyline",0.4725
"LN(-2.34, 1.62^2)","bupropion",0.26395
"LN(-2.34, 1.62^2)","citalopram",0.34385
"LN(-2.34, 1.62^2)","clomipramine",0.596166666666667
"LN(-2.34, 1.62^2)","desvenlafaxine",0.380733333333333
"LN(-2.34, 1.62^2)","duloxetine",0.872166666666667
"LN(-2.34, 1.62^2)","escitalopram",0.700633333333333
"LN(-2.34, 1.62^2)","fluoxetine",0.4874
"LN(-2.34, 1.62^2)","fluvoxamine",0.0666499999999999
"LN(-2.34, 1.62^2)","levomilnacipran",0.649216666666667
"LN(-2.34, 1.62^2)","milnacipran",0.3933
"LN(-2.34, 1.62^2)","mirtazapine",0.739533333333333
"LN(-2.34, 1.62^2)","nefazodone",0.355883333333333
"LN(-2.34, 1.62^2)","paroxetine",0.5748
"LN(-2.34, 1.62^2)","reboxetine",0.989983333333333
"LN(-2.34, 1.62^2)","sertraline",0.0586833333333333
"LN(-2.34, 1.62^2)","trazodone",0.621883333333333
"LN(-2.34, 1.62^2)","venlafaxine",0.297283333333333
"LN(-2.34, 1.62^2)","vilazodone",0.5349
"LN(-2.34, 1.62^2)","vortioxetine",0.6746
