"model","median","mean","q25","q75","n_reps"
"A",0.7,0.686,0.5,0.9,91
"B",0.8,0.695,0.575,0.9,92
"Ref",0.8,0.703,0.6,0.9,98
"Lumped",0.7,0.611,0.4,0.9,89
