Study Name,Year,No. of,No of,Drug,Sponsor,No.,Mean,%,Dose,Dosing,Mean,Baseline,Mean,Length,Diagno,Recruitmen,Multi/,Treatment,Patient,Placeb,Rescue,,
Benkert 2000,2000,2,2,mirtazapine,Yes,139,47.2,*,15‐45,Flexible,33,HAMD 17,22.40,6,DSM‐IV,Europe,Multi‐,Both,Outpatients,Yes,Unclear,,
Benkert,2006,2,2,mirtazapine,Yes,140,46.4,0.56,45‐45,Fixed,45,HAMD 17,24.60,6,DSM‐IV,Europe,Multi‐,Unclear,Outpatients,No,Unclear,,
Bennie 1995,1995,2,2,sertraline,Yes,142,49.9,*,50‐100,Flexible,62,HAMD 17,23.20,6,DSM‐,Europe,Multi‐,Secondary,Outpatients,Yes,Yes,,
Berlanga 1997,1997,2,2,nefazodone,Yes,37,41.5,0.78,400‐500,Flexible,400,HAMD 17,25.10,8,DSM‐,South,Multi‐,Unclear,Outpatients,Unclear,Yes,,
Berlanga 2006,2006,2,2,reboxetine,No,46,29.2,*,4‐8,Flexible,*,HAMD 21,26.99,8,DSM‐IV,South,Single,Secondary,Outpatients,No,No,,
Bersani 1994,1994,2,2,sertraline,Unclear,34,47.2,0.63,50‐150,Flexible,88,HAMD 21,33,8,DSM‐,Europe,Unclear,Unclear,Outpatients,Unclear,No,,
Bhatia 1991,1991,2,3,amitriptyline,No,7,38,*,200‐300,Flexible,250,HAMD 17,32.92,6,DSM‐III,North,Multi‐,Secondary,Inpatients,No,Unclear,,
Bielski 2004,2004,2,2,escitalopram,Yes,101,37.3,*,20‐20,Fixed,20,HAMD 24,28.60,8,DSM‐IV,North,Multi‐,Secondary,Outpatients,Yes,Unclear,,
Bignamini 1992,1992,2,2,paroxetine,Yes,156,49.1,*,20‐30,Flexible,*,HAMD,21,30.50,6,DSM‐III,Europe,Multi‐,Unclear,Outpatients,Unclear,Unclear,
Binnemann,2008,2,3,sertraline,Yes,43,49 (*),*,100‐100,Fixed,100,HAMD,17,23.30,6,DSM‐IV,Cross‐,Multi‐,Unclear,Outpatients,Yes,Unclear,
Bjerkenstedt,2005,2,3,fluoxetine,No,57,50.4,*,20‐20,Fixed,20,HAMD,21,23.80,6,DSM‐IV,Europe,Multi‐,Primary,Outpatients,Yes,Unclear,
Blacker 1988,1988,2,4,amitriptyline,No,44,42,*,100‐100,Fixed,100,HAMD,21,26.70,6,DSM‐III,Europe,Multi‐,Primary,Outpatients,Unclear,Unclear,
Bosc 1997a,1997,3,3,reboxetine,Yes,126,40,0.67,8‐10,Flexible,*,HAMD,21,26.80,8,DSM‐,Cross‐,Multi‐,Unclear,Outpatients,No,Yes,
