"agent","0.5x","1x","2x","Max"
"paroxetine",1.48333333333333,1.48333333333333,1.48333333333333,1.96766666666667
"citalopram",1.95333333333333,1.95333333333333,1.95333333333333,1.819
"escitalopram",3.13333333333333,3.13333333333333,3.13333333333333,3.07066666666667
"sertraline",3.912,3.912,3.912,3.568
"fluoxetine",4.518,4.518,4.518,4.57466666666667
