"Prior","Family","tau_med","tau_95CI","DIC","LPML","Converged"
"U(0, 2)","Uniform",0.271,"(0.168, 0.373)",997.8,-155.1,TRUE
"U(0, 5)","Uniform",0.271,"(0.168, 0.383)",999.9,-155.6,TRUE
"U(0, 10)","Uniform",0.271,"(0.172, 0.380)",997.9,-153.8,TRUE
"HN(0, 0.5)","Half-Normal",0.271,"(0.172, 0.373)",1002.2,-148.1,TRUE
"HN(0, 1)","Half-Normal",0.27,"(0.177, 0.373)",994.9,-153.2,TRUE
"HN(0, 2)","Half-Normal",0.272,"(0.171, 0.379)",991.5,-149.7,TRUE
"HC(0, 0.5)","Half-Cauchy",0.265,"(0.155, 0.371)",1009.2,-159.1,TRUE
"LN(-2.34, 1.62²)","Log-Normal",0.268,"(0.171, 0.368)",1001.1,-153.4,TRUE
