"Model","tau_median","tau_lower","tau_upper"
"Model A",0.27291671648877,0.17365993085742,0.373901548213569
"Model B",0.260868416414848,0.162574236304686,0.365153855143729
"Ref: Linear",0.288440057517794,0.191449051747883,0.391457760104145
"Lumped NMA",0.186759071118327,0.0221607532120041,0.363235545417925
