"agent","0.5x","1x","2x","Max"
"paroxetine",2.00233333333333,1.804,1.608,2.01233333333333
"citalopram",2.28433333333333,2.17366666666667,2.04933333333333,1.87033333333333
"escitalopram",3.09066666666667,3.18666666666667,3.28066666666667,3.205
"sertraline",3.21866666666667,3.301,3.46533333333333,3.29033333333333
"fluoxetine",4.404,4.53466666666667,4.59666666666667,4.622
