"agent","Model A","Model B","Ref: Linear","Lumped NMA"
"citalopram",0.79525,0.782416666666667,0.805166666666667,0.520583333333333
"paroxetine",0.758083333333333,0.746916666666667,0.800333333333333,0.714166666666667
"escitalopram",0.482333333333333,0.44875,0.507833333333333,0.34275
"sertraline",0.358,0.427416666666667,0.250666666666667,0.800666666666667
"fluoxetine",0.106333333333333,0.0945,0.136,0.121833333333333
