"model","n_converged","n_total","n_h2h"
"A",46,50,5
"B",43,50,5
"Ref",44,50,5
"Lumped",41,50,5
"A",44,50,10
"B",45,50,10
"Ref",50,50,10
"Lumped",42,50,10
"A",48,50,20
"B",49,50,20
"Ref",50,50,20
"Lumped",43,50,20
"A",48,50,40
"B",47,50,40
"Ref",50,50,40
"Lumped",50,50,40
