"tau","model","n_converged","n_total"
0.27,"A",91,100
0.27,"B",92,100
0.27,"Ref",98,100
0.27,"Lumped",89,100
0.2,"A",67,100
0.2,"B",57,100
0.2,"Ref",80,100
0.2,"Lumped",69,100
0.15,"A",36,100
0.15,"B",41,100
0.15,"Ref",56,100
0.15,"Lumped",66,100
0.1,"A",29,100
0.1,"B",25,100
0.1,"Ref",44,100
0.1,"Lumped",50,100
0.05,"A",24,100
0.05,"B",17,100
0.05,"Ref",44,100
0.05,"Lumped",56,100
