"model","n_converged","n_total","n_h2h"
"A",91,100,5
"B",91,100,5
"Ref",91,100,5
"Lumped",84,100,5
"A",89,100,10
"B",89,100,10
"Ref",98,100,10
"Lumped",86,100,10
"A",91,100,20
"B",96,100,20
"Ref",98,100,20
"Lumped",89,100,20
"A",95,100,40
"B",94,100,40
"Ref",97,100,40
"Lumped",95,100,40
