"agent","Model A","Model B","Ref: Linear","Lumped NMA"
"fluoxetine_60",0.731733333333333,0.734866666666667,0.716466666666667,0.121833333333333
"sertraline_81.1359026369168",0.5376,0.474,0.6444,0.800666666666667
"escitalopram_62.2222222222222",0.414133333333333,0.441066666666667,0.393933333333333,0.34275
"paroxetine_47.0588235294118",0.193533333333333,0.202466666666667,0.159733333333333,0.714166666666667
"citalopram_60",0.1638,0.174066666666667,0.155866666666667,0.520583333333333
