"Model","tau_median","tau_lower","tau_upper"
"Model A",0.242400855335635,0.180989114885588,0.306136942541801
"Model B",0.21889710110485,0.159535268041244,0.283230029185402
"Ref: Linear",0.250775759202019,0.18859896721763,0.312296934410229
"Lumped NMA",0.25072556431827,0.159626187118485,0.353939614013703
