"agent","median_rank","mean_rank","sucra","model","Class","agent_clean"
"clomipramine_51.6",10,10.1126666666667,0.493740740740741,"Lumped NMA","TCA","Clomipramine"
"desvenlafaxine_40",12,11.5253333333333,0.415259259259259,"Lumped NMA","SNRI","Desvenlafaxine"
"duloxetine_39.96",7,6.91566666666667,0.671351851851852,"Lumped NMA","SNRI","Duloxetine"
"escitalopram_44.44",5,5.60933333333333,0.743925925925926,"Lumped NMA","SSRI","Escitalopram"
"fluoxetine_60",13,12.503,0.360944444444444,"Lumped NMA","SSRI","Fluoxetine"
"fluvoxamine_55.8",17,15.5713333333333,0.190481481481481,"Lumped NMA","SSRI","Fluvoxamine"
"milnacipran_40",11,10.5356666666667,0.470240740740741,"Lumped NMA","SNRI","Milnacipran"
"mirtazapine_35.28",3,4.202,0.822111111111111,"Lumped NMA","Atypical","Mirtazapine"
"paroxetine_47.04",9,8.81066666666667,0.566074074074074,"Lumped NMA","SSRI","Paroxetine"
"reboxetine_34.48",1,1.03433333333333,0.998092592592593,"Lumped NMA","Atypical","Reboxetine"
"sertraline_81.2",18,16.8653333333333,0.118592592592593,"Lumped NMA","SSRI","Sertraline"
"trazodone_15",4,7.54733333333333,0.636259259259259,"Lumped NMA","SARI","Trazodone"
"venlafaxine_100.5",10,9.94166666666667,0.503240740740741,"Lumped NMA","SNRI","Venlafaxine"
"vilazodone_40",6,7.372,0.646,"Lumped NMA","Atypical","Vilazodone"
"vortioxetine_40",13,12.8423333333333,0.342092592592593,"Lumped NMA","Atypical","Vortioxetine"
