"prior","agent","sucra"
"HN(0, 2)","amitriptyline_20",0.50252380952381
"HN(0, 2)","bupropion_20",0.702619047619048
"HN(0, 2)","citalopram_20",0.623428571428571
"HN(0, 2)","clomipramine_20",0.373666666666667
"HN(0, 2)","desvenlafaxine_20",0.586190476190476
"HN(0, 2)","duloxetine_20",0.123206349206349
"HN(0, 2)","escitalopram_20",0.284571428571429
"HN(0, 2)","fluoxetine_20",0.489
"HN(0, 2)","fluvoxamine_20",0.910984126984127
"HN(0, 2)","levomilnacipran_20",0.33468253968254
"HN(0, 2)","milnacipran_20",0.587380952380952
"HN(0, 2)","mirtazapine_20",0.241380952380952
"HN(0, 2)","nefazodone_20",0.627095238095238
"HN(0, 2)","paroxetine_20",0.406301587301587
"HN(0, 2)","reboxetine_20",0.00680952380952384
"HN(0, 2)","sertraline_20",0.924079365079365
"HN(0, 2)","trazodone_20",0.384142857142857
"HN(0, 2)","venlafaxine_20",0.667190476190476
"HN(0, 2)","vilazodone_20",0.44831746031746
"HN(0, 2)","vortioxetine_20",0.310174603174603
"HC(0, 0.5)","agomelatine_20",0.551666666666667
"HC(0, 0.5)","amitriptyline_20",0.495873015873016
"HC(0, 0.5)","bupropion_20",0.696904761904762
"HC(0, 0.5)","citalopram_20",0.624523809523809
"HC(0, 0.5)","clomipramine_20",0.38852380952381
"HC(0, 0.5)","desvenlafaxine_20",0.586492063492064
"HC(0, 0.5)","duloxetine_20",0.121126984126984
"HC(0, 0.5)","escitalopram_20",0.281603174603175
"HC(0, 0.5)","fluoxetine_20",0.486380952380952
"HC(0, 0.5)","fluvoxamine_20",0.915857142857143
"HC(0, 0.5)","levomilnacipran_20",0.336190476190476
"HC(0, 0.5)","milnacipran_20",0.579666666666667
"HC(0, 0.5)","mirtazapine_20",0.244238095238095
"HC(0, 0.5)","nefazodone_20",0.630825396825397
"HC(0, 0.5)","paroxetine_20",0.412666666666667
"HC(0, 0.5)","reboxetine_20",0.0077301587301587
"HC(0, 0.5)","sertraline_20",0.922730158730159
"HC(0, 0.5)","trazodone_20",0.381460317460317
"HC(0, 0.5)","venlafaxine_20",0.667460317460317
"HC(0, 0.5)","vilazodone_20",0.445444444444444
"HC(0, 0.5)","vortioxetine_20",0.311
"LN(-2.34, 1.62^2)","agomelatine_20",0.546777777777778
"LN(-2.34, 1.62^2)","amitriptyline_20",0.502380952380952
"LN(-2.34, 1.62^2)","bupropion_20",0.704444444444444
"LN(-2.34, 1.62^2)","citalopram_20",0.624904761904762
"LN(-2.34, 1.62^2)","clomipramine_20",0.384634920634921
"LN(-2.34, 1.62^2)","desvenlafaxine_20",0.589777777777778
"LN(-2.34, 1.62^2)","duloxetine_20",0.121746031746032
"LN(-2.34, 1.62^2)","escitalopram_20",0.285111111111111
"LN(-2.34, 1.62^2)","fluoxetine_20",0.488190476190476
"LN(-2.34, 1.62^2)","fluvoxamine_20",0.915
"LN(-2.34, 1.62^2)","levomilnacipran_20",0.335507936507937
"LN(-2.34, 1.62^2)","milnacipran_20",0.578507936507937
"LN(-2.34, 1.62^2)","mirtazapine_20",0.248079365079365
"LN(-2.34, 1.62^2)","nefazodone_20",0.630746031746032
"LN(-2.34, 1.62^2)","paroxetine_20",0.404952380952381
"LN(-2.34, 1.62^2)","reboxetine_20",0.00953968253968253
"LN(-2.34, 1.62^2)","sertraline_20",0.924698412698413
"LN(-2.34, 1.62^2)","trazodone_20",0.370444444444444
"LN(-2.34, 1.62^2)","venlafaxine_20",0.669253968253968
"LN(-2.34, 1.62^2)","vilazodone_20",0.442952380952381
"LN(-2.34, 1.62^2)","vortioxetine_20",0.309904761904762
