"Model","DIC_pD","pD","DIC_pV","pV","LPML","Dbar_pD","Dbar_pV"
"A: Shared Emax",994.352773591279,101.371241999822,TRUE,146.480709310205,-152.276086262041,892.981531591457,-145.480709310205
"B: Agent-specific Emax",1000.81501516934,100.921681415454,TRUE,152.028450014943,-150.04371811825,899.893333753885,-151.028450014943
"Ref: Shared Linear",991.744333541272,103.519071704506,TRUE,143.004471478993,-157.391171357438,888.225261836766,-142.004471478993
